id,date,time,continent_code,country_name,country_code,state/province,population,city/town,distance,location_description,latitude,longitude,geolocation,hazard_type,landslide_type,landslide_size,trigger,storm_name,injuries,fatalities,source_name,source_link,,,
3178,03-07-2011,05:00:00,,United States,US,Massachusetts,19753,Greenfield,0.81961,,42.5804,-72.6018,"(42.580399999999997, -72.601799999999997)",Landslide,Mudslide,Medium,Rain,,,0,WGGB,http://www.wggb.com/Global/story.asp?S=14204808,07-03-2011,2011,3
3180,03-07-2011,,SA,Venezuela,VE,Vargas,52564,Maiquetía,7.89319,,10.5259,-66.9425,"(10.5259, -66.942499999999995)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.vheadline.com/readnews.asp?id=101578,07-03-2011,2011,3
3181,03-08-2011,Early morning,,United States,US,Pennsylvania,1244,Heidelberg,1.54687,,40.3927,-80.1091,"(40.392699999999998, -80.109099999999998)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.post-gazette.com/pg/11069/1130894-57.stm,08-03-2011,2011,3
3182,03-08-2011,05:00:00,,United States,US,Missouri,35517,Wildwood,2.41198,Below road,38.5678,-90.6426,"(38.567799999999998, -90.642600000000002)",Landslide,Mudslide,Medium,Downpour,,,0,Eureka-Wildwood Patch,http://eureka-wildwood.patch.com/articles/section-of-missouri-route-109-caving-with-mudslide,08-03-2011,2011,3
3183,03-08-2011,Night,,United States,US,Kentucky,4456,Hazard,0.70654,,37.2537,-83.1872,"(37.253700000000002, -83.187200000000004)",Landslide,Mudslide,Medium,Downpour,,,0,,http://www.wkyt.com/news/headlines/Mudslide_forces_crews_to_tear_down_abandoned_homes_117709478.html?ref=478,08-03-2011,2011,3
3187,03-09-2011,12:00:00,,United States,US,New York,2701,Lewiston,3.95434,,43.1372,-79.0415,"(43.1372, -79.041499999999999)",Landslide,Rockfall,Small,Downpour,,,0,,http://niagara-gazette.com/local/x740870807/50-ton-boulder-slides-into-Power-Project-service-road-retaining-fence,09-03-2011,2011,3
3188,03-09-2011,Night,,United States,US,West Virginia,1036,Bethany,2.52454,,40.1854,-80.5432,"(40.185400000000001, -80.543199999999999)",Landslide,Landslide,Small,Downpour,,,0,,http://www.wtov9.com/news/27149014/detail.html,09-03-2011,2011,3
3189,03-09-2011,Night,,United States,US,West Virginia,1036,Bethany,1.92763,,40.212,-80.5778,"(40.212000000000003, -80.577799999999996)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.wtov9.com/news/27149014/detail.html,09-03-2011,2011,3
3190,03-10-2011,Night,,United States,US,Pennsylvania,1836,Tunkhannock,13.6612,,41.5474,-76.1099,"(41.547400000000003, -76.109899999999996)",Landslide,Mudslide,Small,Downpour,,,0,,"http://www.wnep.com/news/countybycounty/wnep-wyo-flooding-roads-closed-route-87-washout,0,463570.story",10-03-2011,2011,3
3195,03-10-2011,,,United States,US,Virginia,207627,Arlington,3.23558,,38.907,-77.0874,"(38.906999999999996, -77.087400000000002)",Landslide,Mudslide,Medium,Downpour,,,0,,http://wusa9.com/news/article/140731/373/Traffic-Alert-Closed-Roads-And-Lots-Flooding,10-03-2011,2011,3
3198,03-10-2011,,,United States,US,Virginia,2681,Hillsville,13.60254,,36.8693,-80.6597,"(36.869300000000003, -80.659700000000001)",Landslide,Landslide,Medium,Downpour,,,0,,http://www2.wsls.com/news/2011/mar/10/landslide-carroll-county-ar-897670/,10-03-2011,2011,3
3200,03-11-2011,Early morning,,United States,US,Ohio,4278,Bellaire,3.66747,,39.9984,-80.7785,"(39.998399999999997, -80.778499999999994)",Landslide,Landslide,Small,Downpour,,,0,,http://www.theintelligencer.net/page/content.detail/id/552910/Landslide--Slip-Close-Roads.html,11-03-2011,2011,3
3201,03-11-2011,Early morning,,United States,US,Ohio,1482,Brilliant,4.85999,,40.2324,-80.6646,"(40.232399999999998, -80.664599999999993)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.theintelligencer.net/page/content.detail/id/552910/Landslide--Slip-Close-Roads.html,11-03-2011,2011,3
3202,03-11-2011,01:00:00,,United States,US,Pennsylvania,1836,Tunkhannock,4.84701,,41.5041,-75.982,"(41.504100000000001, -75.981999999999999)",Landslide,Mudslide,Medium,Downpour,,,0,,"http://www.wnep.com/news/countybycounty/wnep-wyo-flooding-roads-closed-route-87-washout,0,463570.story",11-03-2011,2011,3
3204,03-12-2011,18:00:00,,United States,US,Ohio,3541,Wellsville,0.79841,,40.6006,-80.64,"(40.6006, -80.64)",Landslide,Mudslide,Small,Downpour,,,0,,http://www.reviewonline.com/page/content.detail/id/542043/FLOODED-FIELD.html?nav=5008,12-03-2011,2011,3
3210,3/13/11,23:00:00,,United States,US,Ohio,1482,Brilliant,4.85999,,40.2324,-80.6646,"(40.232399999999998, -80.664599999999993)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.news-register.net/page/content.detail/id/552990/Another-Ohio-7-Landslide.html?nav=515,13-03-2011,2011,3
3227,3/15/11,,,United States,US,Alabama,12548,Jacksonville,1.79927,,33.7975,-85.762,"(33.797499999999999, -85.762)",Landslide,Landslide,Small,Downpour,,,0,,,15-03-2011,2011,3
3231,3/15/11,Night,,United States,US,Pennsylvania,1171,Bradford Woods,4.62567,,40.6357,-80.0271,"(40.6357, -80.027100000000004)",Landslide,Landslide,Medium,Downpour,,,0,,http://www.pittsburghlive.com/x/pittsburghtrib/news/pittsburgh/s_727733.html,15-03-2011,2011,3
